Jahr,Naechte,Count
2009,1-7 Nächte,179
2009,8-14 Nächte,38
2009,15-30 Nächte,31
2009,31-60 Nächte,27
2009,61-150 Nächte,52
2009,>150 Nächte,28
2009,Total,355
2010,1-7 Nächte,185
2010,8-14 Nächte,28
2010,15-30 Nächte,32
2010,31-60 Nächte,32
2010,61-150 Nächte,36
2010,>150 Nächte,45
2010,Total,358
2011,1-7 Nächte,195
2011,8-14 Nächte,24
2011,15-30 Nächte,39
2011,31-60 Nächte,39
2011,61-150 Nächte,51
2011,>150 Nächte,26
2011,Total,374
2012,1-7 Nächte,293
2012,8-14 Nächte,24
2012,15-30 Nächte,42
2012,31-60 Nächte,32
2012,61-150 Nächte,33
2012,>150 Nächte,37
2012,Total,461
2013,1-7 Nächte,233
2013,8-14 Nächte,40
2013,15-30 Nächte,48
2013,31-60 Nächte,27
2013,61-150 Nächte,50
2013,>150 Nächte,40
2013,Total,438
2014,1-7 Nächte,221
2014,8-14 Nächte,49
2014,15-30 Nächte,59
2014,31-60 Nächte,32
2014,61-150 Nächte,45
2014,>150 Nächte,48
2014,Total,454
2015,1-7 Nächte,227
2015,8-14 Nächte,26
2015,15-30 Nächte,49
2015,31-60 Nächte,32
2015,61-150 Nächte,41
2015,>150 Nächte,42
2015,Total,417
2016,1-7 Nächte,263
2016,8-14 Nächte,51
2016,15-30 Nächte,48
2016,31-60 Nächte,33
2016,61-150 Nächte,39
2016,>150 Nächte,32
2016,Total,466
2017,1-7 Nächte,219
2017,8-14 Nächte,39
2017,15-30 Nächte,46
2017,31-60 Nächte,40
2017,61-150 Nächte,36
2017,>150 Nächte,35
2017,Total,415
2018,1-7 Nächte,222
2018,8-14 Nächte,32
2018,15-30 Nächte,41
2018,31-60 Nächte,41
2018,61-150 Nächte,41
2018,>150 Nächte,30
2018,Total,407
2019,1-7 Nächte,216
2019,8-14 Nächte,34
2019,15-30 Nächte,42
2019,31-60 Nächte,35
2019,61-150 Nächte,59
2019,>150 Nächte,31
2019,Total,417
2020,1-7 Nächte,217
2020,8-14 Nächte,42
2020,15-30 Nächte,65
2020,31-60 Nächte,44
2020,61-150 Nächte,58
2020,>150 Nächte,29
2020,Total,455
2021,1-7 Nächte,287
2021,8-14 Nächte,72
2021,15-30 Nächte,36
2021,31-60 Nächte,29
2021,61-150 Nächte,32
2021,>150 Nächte,40
2021,Total,496
