Jahr,Kategorie,Count
2009,Einzelzimmer,0
2009,1 Zimmer,0
2009,2 Zimmer,62.5
2009,3 Zimmer,62.7
2009,4 Zimmer,55.3
2009,5 Zimmer +,0
2010,Einzelzimmer,0
2010,1 Zimmer,100
2010,2 Zimmer,100
2010,3 Zimmer,75.5
2010,4 Zimmer,72.7
2010,5 Zimmer +,0
2011,Einzelzimmer,0
2011,1 Zimmer,100
2011,2 Zimmer,90.9
2011,3 Zimmer,93.9
2011,4 Zimmer,86
2011,5 Zimmer +,0
2012,Einzelzimmer,0
2012,1 Zimmer,100
2012,2 Zimmer,100
2012,3 Zimmer,93.5
2012,4 Zimmer,92.9
2012,5 Zimmer +,0
2013,Einzelzimmer,0
2013,1 Zimmer,0
2013,2 Zimmer,100
2013,3 Zimmer,100
2013,4 Zimmer,92.7
2013,5 Zimmer +,0
2014,Einzelzimmer,0
2014,1 Zimmer,0
2014,2 Zimmer,91.7
2014,3 Zimmer,97.8
2014,4 Zimmer,97.8
2014,5 Zimmer +,0
2015,Einzelzimmer,0
2015,1 Zimmer,100
2015,2 Zimmer,85.7
2015,3 Zimmer,89.8
2015,4 Zimmer,97.8
2015,5 Zimmer +,0
2016,Einzelzimmer,0
2016,1 Zimmer,91.7
2016,2 Zimmer,88.6
2016,3 Zimmer,87.8
2016,4 Zimmer,91.1
2016,5 Zimmer +,0
2017,Einzelzimmer,0
2017,1 Zimmer,100
2017,2 Zimmer,86.8
2017,3 Zimmer,89.1
2017,4 Zimmer,96
2017,5 Zimmer +,100
2018,Einzelzimmer,75
2018,1 Zimmer,83.3
2018,2 Zimmer,84.2
2018,3 Zimmer,96.4
2018,4 Zimmer,88.7
2018,5 Zimmer +,100
2019,Einzelzimmer,83.3
2019,1 Zimmer,96
2019,2 Zimmer,96.7
2019,3 Zimmer,86.2
2019,4 Zimmer,86.5
2019,5 Zimmer +,100
2020,Einzelzimmer,100
2020,1 Zimmer,100
2020,2 Zimmer,96.7
2020,3 Zimmer,91.2
2020,4 Zimmer,90.9
2020,5 Zimmer +,100
2021,Einzelzimmer,91.7
2021,1 Zimmer,89.7
2021,2 Zimmer,87.5
2021,3 Zimmer,90.1
2021,4 Zimmer,93.7
2021,5 Zimmer +,100
