Jahr,Mietdauer,Count
2009,Weniger als ein Jahr,16
2009,1-3 Jahre,11
2009,4-6 Jahre,17
2009,7-10 Jahre,6
2009,>10 Jahre,13
2009,Total,63
2010,Weniger als ein Jahr,35
2010,1-3 Jahre,17
2010,4-6 Jahre,10
2010,7-10 Jahre,6
2010,>10 Jahre,13
2010,Total,81
2011,Weniger als ein Jahr,33
2011,1-3 Jahre,38
2011,4-6 Jahre,6
2011,7-10 Jahre,5
2011,>10 Jahre,12
2011,Total,94
2012,Weniger als ein Jahr,33
2012,1-3 Jahre,44
2012,4-6 Jahre,6
2012,7-10 Jahre,4
2012,>10 Jahre,8
2012,Total,95
2013,Weniger als ein Jahr,28
2013,1-3 Jahre,43
2013,4-6 Jahre,9
2013,7-10 Jahre,6
2013,>10 Jahre,9
2013,Total,95
2014,Weniger als ein Jahr,20
2014,1-3 Jahre,48
2014,4-6 Jahre,17
2014,7-10 Jahre,4
2014,>10 Jahre,10
2014,Total,99
2015,Weniger als ein Jahr,74
2015,1-3 Jahre,31
2015,4-6 Jahre,14
2015,7-10 Jahre,4
2015,>10 Jahre,7
2015,Total,130
2016,Weniger als ein Jahr,31
2016,1-3 Jahre,65
2016,4-6 Jahre,18
2016,7-10 Jahre,3
2016,>10 Jahre,9
2016,Total,126
2017,Weniger als ein Jahr,40
2017,1-3 Jahre,73
2017,4-6 Jahre,13
2017,7-10 Jahre,8
2017,>10 Jahre,9
2017,Total,143
2018,Weniger als ein Jahr,47
2018,1-3 Jahre,76
2018,4-6 Jahre,13
2018,7-10 Jahre,11
2018,>10 Jahre,6
2018,Total,153
2019,Weniger als ein Jahr,54
2019,1-3 Jahre,46
2019,4-6 Jahre,43
2019,7-10 Jahre,13
2019,>10 Jahre,3
2019,Total,159
2020,Weniger als ein Jahr,34
2020,1-3 Jahre,89
2020,4-6 Jahre,34
2020,7-10 Jahre,7
2020,>10 Jahre,6
2020,Total,170
2021,Weniger als ein Jahr,23
2021,1-3 Jahre,66
2021,4-6 Jahre,44
2021,7-10 Jahre,25
2021,>10 Jahre,8
2021,Total,166
